"Hrapx","Hrapy","Lat","Lon","Globvalue"
"484",332.8333,679.9167,49.2743,-109.2096,0.1742
"485",767.5,563.3333,41.7848,-85.6,0.1742
"486",1540.5833,198.0833,18.1881,-65.8909,0.1742
"487",454.8333,661.8333,47.8872,-101.7222,0.1742
"488",415.9167,250.5833,33.1732,-104.3452,0.175
"489",467.9167,666,48.1548,-100.9274,0.175
"490",783.5833,582.4167,42.6146,-84.3741,0.175
"491",606.6667,560.6667,43.1824,-93.7945,0.175
"492",456.5,547.9167,43.8029,-101.9379,0.175
"493",525.0833,61.6667,26.1794,-100.3431,0.175
"494",906.5,241.3333,29.5426,-84.5877,0.175
"495",525.0833,70.5833,26.1764,-100.284,0.175
"496",551.5,404.9167,37.5963,-97.7766,0.175
"497",588.0833,543.8333,43.0207,-94.9383,0.175
"498",401.25,657.75,47.952,-104.9551,0.175
"499",404.1667,665,48.212,-104.7658,0.175
